width_inches,height_inches,inventory_number,object_id,object_type,title,unique_id,artist,img_link,color_tags
21.75,16.0,1966,379378,Work on paper,"Paris, 1967  (IRC Flight Portfolio)",7462763887,"Pignon, Edouard 1905-1993",https://api.collectorsystems.com/11184/objects/379378/mainimage,"{'0': '#a6a386', '1': '#f0e9d1', '2': '#4e5549'}"
20.5,16.0,1967,379379,Work on paper,Zurich 1969  (IRC Flight Portfolio),1945823288,"Wotruba, Fritz 1907-1975",https://api.collectorsystems.com/11184/objects/379379/mainimage,"{'0': '#514533', '1': '#a09277', '2': '#edecde'}"
18.75,24.75,1970,379380,Work on paper,"New York, 1969  (IRC Flight Portfolio)",1781432332,"Gottlieb, Adolph 1903-1974",https://api.collectorsystems.com/11184/objects/379380/mainimage,"{'0': '#4f292c', '1': '#f3efde', '2': '#cba399'}"
19.75,25.75,1971,379381,Work on paper,"Zurich, 1967  (IRC Flight Portfolio)",9273399283,"Lam, Wifredo 1902-1982",https://api.collectorsystems.com/11184/objects/379381/mainimage,"{'0': '#706535', '1': '#f0ebcc', '2': '#decf97'}"
11.8125,11.8125,2013,379382,Installation,Untitled,3582937144,"Hilal, Sami b. 1952",https://api.collectorsystems.com/11184/objects/379382/mainimage,"{'0': '#a87b57', '1': '#b2a79f', '2': '#75401f'}"
23.625,27.5625,2014,379383,Painting,Untitled,0447199575,"Bechara, Jose b. 1957",https://api.collectorsystems.com/11184/objects/379383/mainimage,"{'0': '#b17a36', '1': '#e5e3e4', '2': '#864c21'}"
10.0,10.0,2016.1,379385,Photographs,Marie Therese from the series Where We Come From,0863238019,"Jacir, Emily b. 1970",https://api.collectorsystems.com/11184/objects/379385/mainimage,"{'0': '#30160c', '1': '#8a502c', '2': '#c3966f'}"
20.0,16.0,2017.1,379386,Photographs,"Bank mirror, Ramallah, April 22, 2002; Israeli soldiers, Bethlehem, April 20, 2002; A Doctor's office",3614998823,"Jacir, Emily b. 1970",https://api.collectorsystems.com/11184/objects/379386/mainimage,"{'0': '#ccbaad', '1': '#291e17', '2': '#826c5d'}"
127.0,89.5,2018,379387,Painting,Untitled,8811235151,"Reyle, Anselm b. 1970",https://api.collectorsystems.com/11184/objects/379387/mainimage,"{'0': '#d3cdcc', '1': '#cd794c', '2': '#185574'}"
32.75,39.25,2019,379388,Photographs,The Devil and His Mother,2125786274,"Weber, Martin",https://api.collectorsystems.com/11184/objects/379388/mainimage,"{'0': '#364047', '1': '#e4e1cc', '2': '#998e7e'}"
38.0,30.0,2021,379389,Painting,Untitled (Portrait #1),3301508693,"Rathman, David b. 1958",https://api.collectorsystems.com/11184/objects/379389/mainimage,"{'0': '#3c362b', '1': '#ecede2', '2': '#858072'}"
63.0,50.0,2023.2,379391,Photographs,Untitled (coca-cola),8055219394,"Hawkins, Stuart b. 1969",https://api.collectorsystems.com/11184/objects/379391/mainimage,"{'0': '#7c6e77', '1': '#dfd8de', '2': '#19161f'}"
192.0,96.0,2024,379392,Painting,End Game,9635942789,"Meyerson, Jin b. 1972",https://api.collectorsystems.com/11184/objects/379392/mainimage,"{'0': '#433221', '1': '#906845', '2': '#b2a284'}"
98.4375,80.6875,2026,379393,Painting,Black sheep almond blossom,4645652892,"von Hellerman, Sophie b. 1975",https://api.collectorsystems.com/11184/objects/379393/mainimage,"{'0': '#6e7ab5', '1': '#d19563', '2': '#83645b'}"
36.0,48.0,2058,379394,Installation,Chandelier,9675229017,Assume Vivid Astro Focus,https://api.collectorsystems.com/11184/objects/379394/mainimage,"{'0': '#505050', '1': '#eaeceb', '2': '#a69d91'}"
14.25,28.0,2059,379395,Installation,Stuse,4418674487,Assume Vivid Astro Focus,https://api.collectorsystems.com/11184/objects/379395/mainimage,"{'0': '#84aaa0', '1': '#f0f1f1', '2': '#a4833b'}"
36.0,36.0,2060,379396,Installation,Wilza,1432645904,Assume Vivid Astro Focus,https://api.collectorsystems.com/11184/objects/379396/mainimage,"{'0': '#eef0ee', '1': '#2d4e39', '2': '#956e60'}"
26.8125,36.0,2061,379397,Installation,Blood,5647919522,Assume Vivid Astro Focus,https://api.collectorsystems.com/11184/objects/379397/mainimage,"{'0': '#e5eae9', '1': '#4a6072', '2': '#999c8b'}"
26.8125,36.0,2062,379398,Installation,Reses,3119409933,Assume Vivid Astro Focus,https://api.collectorsystems.com/11184/objects/379398/mainimage,"{'0': '#e3e7e7', '1': '#b09679', '2': '#2e261c'}"
